Organization Name,Industries,CB Rank (Organization),Full Description
Openhouse,"EdTech, Education","16,266","About Us  If you think back to your school or college days, the best memories you have are those with your friends! Your first day in college, your best friend, your dorms, hanging in the corridors, your school canteen, all nighters before exams & chilling for weeks after exams - our school lives are filled with so many awesome interactions, experiences & memories. In each of them you’re with a friend, never alone! Humans always have, and will always continue to learn from one another. We are a social learning platform that allows us to learn the way we learn best - socially Founded by Stanford grads, Openhouse is backed by Accel and Matrix Partners. We have started building a stellar team from companies like Microsoft, Uber, etc.,  We are headquartered in Bangalore.  Our Approach Covid-19 has reshaped every aspect of our lives and education is no exception. The world is learning to learn online but the main reason why online education hasn’t skyrocketed is because all platforms are designed to simply deliver content (whether pre-recorded or live). Online learning doesn’t feel natural, warm or relatable. Taking an analogy from the gaming world, edtech so far consists of single player games designed only for access but not engagement & retention. The only actions one can take is content consumption and practice via multiple choice questions. We, on the contrary, think education is an immersive multiplayer experience! If our children are going to learn online we will have to make it social. That’s how learning happens best. We believe we’re amongst the first few companies in the world trying to push the boundaries of edtech to a new era of highly social & community driven learning. PS: We believe that we need to hire people who are toughened by failure, not those coddled by success. Our Culture The best classrooms have an awesome learning culture. We think of our organisation as one large classroom, where each of us is a student trying to learn from & teach one another.  We have all sorts of people here: humanists, tech junkies, educationists, designers & wanna be designers! Since we are a small organisation, we function like a tight-knit family where we care for each other’s work but also for each other’s lives. We’ve often heard that the first 50 team members set the culture & pace of an organisation, which is why we take time and carefully pick our team. If you grab a sneak peek into our tribe, you’d find us to be super real. We are all encouraged to call a spade a spade, even if this means disappointing a peer. Coming up with prospective solutions is good, but we care about how well the experience is crafted - aesthetics do matter. Think of Disneyland, Nike, Airbnb, WeWork, Apple: the best folks know not only how to deliver a product/service, but also make it beautiful. Most importantly, we are all students! Right across the team. from engineering to product, community to classroom, we think of how we’d feel if we were students – and this reminds us to keep learning and growing!"
Kognity,"B2B, E-Learning, EdTech, Education, Internet, Software","16,535","Kognity's vision is to radically improve learning for the world's 1.5 billion school students. Education is the solution to the world's biggest problems - poverty, conflicts, environmental destruction. We think we can create a paradigm shift in global learning efficacy.  Kognity's software makes both teaching and learning more effective and engaging. It replaces printed textbooks at our customer schools with the next generation alternative."
Uolo,"E-Learning, EdTech, Education, Information Technology","16,543",Uolo is an E-learning company that provides practice-based scholastic programs for every child. The founders graduated from top business schools in India (IIM A and ISB). The company has been a pioneering force in childcare management since its inception in August 2013. Recently the company raised its seed round of funding. It also helps schools to administer efficiently and effectively with its sophisticated school platform.
Genius Group,"EdTech, Education","16,593","Genius Group is a global education company developing a future-focused, entrepreneur education system that spans from early learning, primary and secondary school, through to university, adult education, and corporate training."
Pariksha,"E-Learning, EdTech, Education, Skill Assessment","16,596","Pariksha is the largest vernacular EdTech company. It is solving the massive problem of accessibility and affordability of outcome-based education for the mobile 1st internet users of Bharat.  Our vision is to become the world’s largest EdTech company, our mission is to make affordable, outcome-based, education available to all, and our purpose is to democratizing equal access to learning opportunities. Come join us, and let’s build the world’s largest EdTech company together."
Databank,"Artificial Intelligence, EdTech, Education, Software","16,680","Databank solves the knowledge gap and has a social impact on the world of education. Their AI-powered solution evaluates open-ended responses and provides tailored instruction using machine learning and deep learning. They had strategies, tools for execution, and technology."
Photomath,"Artificial Intelligence, EdTech, Education, Mobile Apps, Software","16,779","Founded in 2014, Photomath is on a mission to transform learning and help every student succeed. It is the world's most-used math education app with over 300 million learners globally. Powered by advanced AI technology, the app instantly scans, accurately solves, and intuitively explains math problems to users through step-by-step explanations, ultimately promoting comprehension of fundamental concepts. Based in San Mateo, California, the company is funded by Cherubic Ventures, Goodwater Capital, GSV Ventures, Menlo Ventures, and Learn Capital."
Harvard Innovation Labs,"EdTech, Education","16,810","The Harvard Innovation Labs are a vibrant, cross-disciplinary ecosystem for the Harvard community to explore innovation and entrepreneurship while building deeper connections.  It is an excellent example of the One Harvard vision and a leading catalyst for the Allston Science and Enterprise District.   The Harvard Innovation Labs began in 2011 with the opening of the i-lab, expanded in 2014 when the Launch Lab opened its doors, and will continue to grow in both breadth and depth with future resources, including the Life Lab which comes online in 2016 (projected)."
Mila - Quebec Artificial Intelligence Institute,"Artificial Intelligence, EdTech, Education, Machine Learning","16,980","Founded in 1993 by Professor Yoshua Bengio (Université de Montréal), Mila is a research institute in artificial intelligence which now rallies 500 researchers specializing in the field of deep learning, including professors, students, industrial partners and startups."
Walnut Coding,"E-Learning, EdTech, Education, STEM Education","17,122","Walnut Coding, also known as Hetao101, is a children’s edtech company. The company designs coding and programming lessons for kids aged four to 12 years, via its AI-driven online platform and smart products. Walnut Coding helps children improve logical thinking with its team of over 400 tutors."
Cialfo,"Artificial Intelligence, EdTech, Education, Internet, Software","17,168","Cialfo is an AI driven solution that brings together people, software, and data to simplify college and career counseling workflows. Students, counselors, parents, college representatives use Cialfo to hope, dream and collaborate. We’re on a mission to make higher education accessible for 100 million students by 2025. Cialfo has offices in Washington DC, Singapore, Shanghai and New Delhi."
Learnerbly,"Corporate Training, E-Learning, EdTech","17,238","Learnerbly assists with the development of people at work by curating learning and development opportunities to accelerate professional growth. Its platform helps forward thinking  businesses such as likes of Ideo, Curve, goCardless."
Eggbun Education,"EdTech, Education, Language Learning","17,245","**What is Eggbun Education?** We're a small team working to make every beginning-level language learner 'conversational'. Currently, Eggbun Education focuses on three core tasks in order to realize our mission. 1. Building a pocket-sized automated tutor. 2. Helping users from study habit. 3. Helping users internalize their studies. Eggbun Education was started in 2015 with the launch of our initial Korean language learning app, 'Chat to Learn Korean with Eggbun' as a way to facilitate Korean language learning for any Korean language and culture lover. Honored to be supported by many of our customers, we do our best to enhance our application and expand into other languages."
Codeit,"E-Learning, EdTech, Education, Software","17,367","While the software industry is booming and demand for people with software skills is greater than ever, the education just isn't there. Codeit tackles the education problem with three simple solutions: (1) better content, (2) better platform, (3) for an affordable price.  Codeit provides an interactive online platform to teach today's most in-demand skills—programming and data science. We have had over 100,000 students, the vast majority of whom decided a change in career.  We certainly are proud of our achievements so far in better equipping the world with digital skills. However, Codeit exists to serve a bigger purpose—to help people ""learn to love learning"". Our take on education is that it's much more than about simply imparting knowledge. It's about bringing out the innate human affinity towards learning.  We began our journey in South Korea teaching programming and data science. Our next step is to expand globally, and to extend our offerings to include topics like design, marketing, and product management. If any of this interests you, please leave us a message at: recruit@codeit.kr"
Eruditus Executive Education,"Continuing Education, EdTech, Education, Skill Assessment","17,380","Eruditus collaborates with top universities to make executive education accessible globally. Eruditus has partnered with more than 30 universities to date, including MIT, Columbia, Harvard, Cambridge, INSEAD, Wharton, UC Berkeley, INCAE, IIT, IIM, NUS, and HKUST, launching more than 100 courses and serving students from more than 80 countries. Many courses are offered and facilitated in multiple languages, including Spanish, Portuguese, and Mandarin. Eruditus was founded in 2010 and is based in Singapore with offices in six countries, 650+ employees, and more than 50,000 student enrolments."
Alberta Machine Intelligence Institute,"Artificial Intelligence, EdTech, Machine Learning","17,606","One of Canada’s three National AI Institutes in the Pan-Canadian AI Strategy, Amii is an Alberta-based non-profit institute that supports world-leading research in artificial intelligence and machine learning and translates scientific advancement into industry adoption. Amii grows AI capabilities through advancing leading-edge research, delivering exceptional educational offerings and providing business advice – all with the goal of building in-house AI capabilities."
TechPoint,"Apps, Cloud Computing, EdTech, Education, Enterprise Software, Hardware, Mobile","17,674",TechPoint is focused on promoting and accelerating the growth of Indiana’s tech community. They conduct research and surface strategies that help better understand and strengthen the tech ecosystem.
simpleshow,"Artificial Intelligence, E-Learning, EdTech, Education, Enterprise, SaaS, Software, Video","17,695","simpleshow is the platform for digital products and services around explainer videos. Guided by the mission to make modern communication simple and concise, the market leader enables everyone to explain a complex topic very simply. The artificial intelligence of the SaaS solution simpleshow video maker supports the user in creating a professional explainer video with just a few clicks – in more than 20 languages. A magic that is based on the experience of tens of thousands of video and eLearning productions for customers on 3 continents. The simpleshow team serves clients from offices in Berlin, Luxembourg, London, Zurich, Miami, Singapore, Hong Kong and Tokyo. Large international companies value simpleshow as a partner for simple explanations."
StudySmarter,"Artificial Intelligence, EdTech, Education","17,745",StudySmarter is an EdTech company that develops an intelligent and content-agnostic platform for lifelong learning. It was first published in 2018 and is used by millions of learners worldwide. StudySmarter has been voted the best EdTech start-up in Germany and Europe by university representatives and education experts.
Noodle Markets,"EdTech, Education, Marketplace","17,758","EDUCATORS, we know you’re tired of dodging sales calls. We appreciate that Google searches and tradeshow floors don’t always show the best options, and that bid management is backbreaking. Our team knows these things because we have worked in K-12 districts, so we get it. Finding and buying excellent products is simply too hard. VENDORS, we know that it’s tremendously difficult to get traction in K-12, even for superb products. We’ve toiled on RFP responses, and we know how few sales calls get returned. Our team has worked for education vendors, large and small – so we feel your pain, too. At Noodle Markets, we believe that 21st-century tools can revolutionize K-12 purchasing. So, we’ve brought together savvy education leaders to build the marketplace that we wanted when we were in your shoes. It’s essential work, and we have lofty goals: Increased transparency for educators. A level playing field for vendors. Efficient procurement processes. Greater innovation in K-12. All in support of improved outcomes for our students."
Path,"Artificial Intelligence, EdTech, Education","17,794","Path provides an AI platform for managing study habits. The startup employs deep learning-based to give non-face-to-face real-time academy lectures for middle and high schools, with the goal of changing the digital education platform."
Honorlock,"EdTech, Education, Software, Web Apps","17,811","Honorlock provides remote proctoring services for online assessments using webcams and screen-capturing technology. The company combines traditional methods of proctoring such as webcam, lockdown browser, and ID verification with its new patented search and destroy technology to create a world-class proctoring solution. With a focus on user experience, Honorlock requires no software to download, on-demand testing, and 24/7 support. Honorlock is headquartered in Boca Raton, Florida."
Cranfield University,"EdTech, Education, Higher Education","17,994","Cranfield University is a postgraduate university that specializes in education and transformational research in various technologies, development, and designs. The university’s schools and departments include Cranfield College of Aeronautics, Cranfield Postgraduate Medical School, and Cranfield University at Kitakyushu, Japan. The institute offers research degrees such as doctor of philosophy, doctor of business administration, engineering doctorate, master of philosophy, and master of science. Cranfield University is a U.K.-based institute that was founded in 1946."
SplashLearn,"E-Learning, EdTech, Education, Mobile Apps","18,039","SplashLearn is an EdTech startup company providing game-based math and reading courses to students in pre-kindergarten to grade five. It is available across platforms the Web, App Store, and Play Store. The company aims to replace books and videos with game-based learning and offers more than 4,000 games in its system. With data from 3+ billion completed activities, SplashLearn's adaptive algorithm offers each child a personalized learning experience that is fun and immersive. SplashLearn's platform gives 15 to 20 minutes of personalized studying expertise to every learner each day and charges only $12 a month to parents for its service. Alternatively, the service is free for schools. Backed by Accel Partners and OWL Ventures, SplashLearn has bagged prestigious ed-tech awards such as the NASSCOM Emerge50, Parents Choice, and Best App Ever and has been consistently featured among the best apps on the App Store. It was launched in San Francisco, California by Indian Institute of Technology (IIT) graduates Arpit Jain, Joy Deep Nath, Mayank Jain, and Umang Jain in 2011."
Juni Learning,"Computer, E-Learning, EdTech, Education, Human Computer Interaction","18,139","Juni is a membership-driven learning platform designed to help each student discover and pursue their passions with joy. The company offers award-winning curriculums in Computer Science, Math, and English for students 7-18 taught by near-peer instructors from top universities and access to a global community. Through project-centered courses, best-in-class technology, and the power of community, Juni’s varied learning experiences prepare students for their best future. Juni is backed by Forerunner Ventures, Index Ventures, Y Combinator Co-founder Jessica Livingston, Arielle Zuckerberg, and more. The company is headquartered in San Francisco and was recently featured in Forbes, Fortune, WSJ, Fast Company and TechCrunch."
InfoMentor,"EdTech, Information Services, Information Technology, Software","18,431","InfoMentor's primary ambition is for all pupils to reach their full potential.  This is achieved by creating the right conditions for learning. InfoMentor is a leading provider of teaching and learning solutions - online and mobile. It brings together in one platform, the most important stakeholders - the pupils, the teacher and the parents."
Thinkful,"E-Learning, EdTech, Education, Software Engineering, Web Development","18,477","Thinkful provides 1-on-1 learning through its network of industry experts, hiring partners, and online platform to deliver a structured and flexible education. It offers programs in web development and data science, with in-person communities in up-and-coming tech hubs around the U.S. Thinkful is founded in 2012."
Mercy College,"Ediscovery, EdTech, Education, Higher Education, Non Profit, STEM Education, Universities","18,524","Mercy College is an excellent choice for residents of Westchester County, New York who are seeking an intimate private school with exceptional faculty and numerous student life opportunities. The main campus of Mercy College is located in Dobbs Ferry. However, there are also additional campuses in White Plains, the Bronx, Manhattan and Yorktown Heights. Many online programs are also available. Academics at Mercy consist of more than 90 undergraduate and graduate majors in such fields as business, education, liberal arts, health sciences and social and behavioral sciences. One of Mercy’s more impressive features is its faculty, which is made up of leading Fulbright scholars and award-winning authors. Even more attractive than this is the one-on-one time that small classes allow students to have with their instructors. Mercy College is recognized by the White House as a “Bright Spot in Hispanic Education,” by the U.S. Department of Education as a Hispanic Serving Institution, is designated by the U.S. Department of Veterans Affairs as “Yellow Ribbon School” and consistently recognized as one of the top schools for veterans and their families."
NetDragon Education,"EdTech, Education, Internet, Mobile","18,568",NetDragon Education is an online education platform that targets students in Kindergarten to high school through websites and mobile applications. It was launched in 2014 and is based in Fuzhou.
Yuanfudao,"E-Learning, EdTech, Tutoring","18,648","Founded in 2012, Yuanfudao is the largest online live courseplatform servicing primary and secondary school students in China. With a paying userbase of over 1 million, Yuanfudao offers a comprehensive curriculum spanning fromprimary school English, Mathematical Olympiad to all-subject courses in secondaryschool. Its unique online feature and large pool of quality teachers enable students toaccess live online tutoring at home taught by national renowned teachers, benefitinghundreds of thousands of students across the country."
Nivelat,"Artificial Intelligence, Corporate Training, E-Learning, EdTech, Education, Gamification, Machine Learning, Software, Training","18,728","Nivelat is a mobile training platform to help companies improve their performance through learning on the go. We use Artificial Intelligence, Gamification, and Microlearning to deliver the right content to the right employee, at the right time, to impact business KPIs. Nivelat allows companies to create micro-courses in minutes, automate content delivery through our API and obtain learning metrics that can be associated with business metrics. It also includes a marketplace for companies to order custom courses from our qualified freelancers’ community. Over 200k users are being trained each month on our platform, including Walmart store stockers, Papa John's pizza makers, and all the Rappi shoppers in Latin America."
HOMER,"Android, Apps, E-Learning, EdTech, Education, iOS, Mobile, Reading Apps","18,805","HOMER is the essential early learning program for kids.  Through a learning program personalized to their age, interests, and level, HOMER helps kids build skills for school and life in the 21st century.  HOMER delivers academic skills such as literacy and math in addition to personal skills like problem-solving and social-emotional awareness.  The HOMER program is based on our proprietary learning framework—the HOMER Method—a four-step, research-based approach that goes beyond rote memorization to teach essential skills and how to apply them in new contexts, promoting confidence, problem-solving and a lifelong love of learning.  HOMER has been honored by Mom’s Choice Award, Parents’ Choice Award, and Common Sense Media, featured in The New York Times, Forbes, and USA Today, and named by Fast Company one of “The 10 most innovative education companies of 2021.”"
PlaceHolder,"Architecture, Augmented Reality, Digital Entertainment, EdTech, Edutainment, Leisure, Virtual Reality","18,834",Placeholder is a space value creation company that provides people with inspiring and exciting experiences by fusing digital technology and real space.
Mentor Collective,"EdTech, Education, Enterprise Software, Higher Education","18,873","Mentor Collective is the leading provider of mentoring programs. We partner with universities to design, manage, and assess programs that give all students access to a relevant near-peer mentor, increasing the graduation rate. Our network of 120+ partner schools includes Princeton, UC Davis, Washington University in St. Louis, and Penn State University. We're proud to be backed by mission-driven investors including Lumina Foundation. We're hiring! See open roles here: https://angel.co/mentorcollective/jobs Learn more on our website: https://www.mentorcollective.org/join-the-team and sign up for our community newsletter here: https://www.mentorcollective.org/newsletter-sign-up Recent recognition: Two-time Inc 5000 lister 2019 - Linchpin top high impact job for remote team members 2019 - Forbes 30 under 30, Education Category 2019 - BostInno's Coolest Companies Finalist 2018 - BostInno's 50 on Fire 2018 - Golden Bridge Awards - Startup of the Year Founded in 2015 2015 - Techstars Boston"
Lambda School,"E-Learning, EdTech, Education, Higher Education","18,957","Lambda School is a combination of a school and an investment fund. Lambda School's mission is to find untapped or underutilized talent, and train that talent for the most in-demand jobs in the world. Lambda School is pioneering a new model of higher education in which the school invests in the students, instead of the other way around."
Shaw Academy,"Continuing Education, E-Learning, EdTech, Education, Edutainment, Higher Education","19,062","Shaw Academy is the largest online classroom based educator in the world. The focus is on higher education at lower cost. Shaw Academy changes people’s lives by offering convenient, flexible and internationally recognized progammes available to hundreds of thousands of new students each and every month."
Zhangmen,"EdTech, Education, Information Services","19,106","Zhangmen is an online tutoring platform provides tutoring courses to students. Through the online and mobile apps of Zhangmen, primary and middle school students from eight to 18 years old can select top teachers who have graduated from China’s first-class universities such as Tsinghua, Peking University, and Fudan, for personalized, one-on-one tutoring sessions. They provided online education services in a one-to-one comprehensive transformation."
Sanjieke,"E-Learning, EdTech, Education, Information Technology, Online Portals","19,174",Sanjiekeis an online education platform targeting IT professionals based in China.
Toddle,"Apps, EdTech, Education, Software","19,321","Toddle is a SaaS platform for education. It collaborates with the IB Primary Years Programme (PYP), assisting students in planning, personalizing learning, and engaging with parents. It serves over 40,000 educators at 1,500+ schools in over 100 countries. It currently assists school teachers in collaborating on day-to-day tasks. Aside from that, it allows educators all over the world to share learning resources with one another. Deepanshu Arora, Gautam Arora, Misbah Jafary, Nikhil Poonawala, and Parita Parekh founded the company in 2019. It is headquartered in Bengaluru, Karnataka, India."
17zuoye,"E-Learning, EdTech, Education, Internet, Language Learning","19,337","17zuoye is an online learning platform for K-12 students as well as teachers and parents. The name means “homework together” in Chinese, and the site aims to serve as a nexus for all three groups to facilitate the educational experience, focusing on English and Math classes. 17zuoye offers a multi-platform homework solution that is in sync with the textbook curriculum and enhanced by big data analytics. 17zuoye provides the teachers with good teaching tools and comprehensive statistics, the students with interesting learning apps and individualized adaptive learning content, and the parents with immediate study reports. 17zuoye also acts as a social network for these users, having the largest real-name-based online teachers’ forum and Wechat parent community in the country."
Masterschool,"EdTech, Education, Internet","19,394","Masterschool is a global network of success-based schools led by industry leaders. The company offers online training programs that provide skills and training to build a career in tech. Masterschool also provides programs that comprise personal mentorship, professional guidance, and robust industry network services."
eSpark,"EdTech, Education","19,588","Our vision is that every student, regardless of their circumstances or background, has the opportunity to set and realize an ambitious dream for themselves. Our mission is to re-imagine learning so it's student centered, enabling students to succeed in school and life."
Uplimit (formerly CoRise),EdTech,"19,598","Uplimit is where anyone can learn the most in-demand skills and actually put them to work. Where leading organizations build technical skills at scale. It’s where industry-leading instructors show how they tackle real problems, with real methods. And where the perfect combination of teaching best practices, top practitioners, technology, and collective peer learning makes real growth accessible to us all."
Echo360,"EdTech, Education, Higher Education, Information Technology","19,602","Echo360 combines all of the video capabilities into a single, smart solution that is so easy to manage. It aims to transform teaching and learning through active learning technology. Echo360 was formed as a subsidiary of Anystream, the world leader in digital media production and workflow management solutions for major media companies. Drawing on a proven track record and history as a technology innovator combined with a clear vision of how technology could better serve education institutions and students around the world, Echo360 has emerged as the global leader in active learning technology. It was founded in 2007 and is headquartered in Dulles, Virginia."
Talview,"Artificial Intelligence, EdTech, Enterprise Software, Human Resources, Machine Learning","19,655","Talview offers a recruiting automation and education tech platform that enables schools to remotely screen, interview, and test students. Launched in 2017, Talview's AI-powered candidate experience platform is the fastest way to remotely screen, interview, and test top talent and students. Our chatbot, live and asynchronous video interviewing, assessment, and remote proctoring solutions use advanced NLP and AI technology to empower our clients to select high-quality applicants anytime, anywhere, and administer tests and exams securely. With our 100% mobile experience, you can easily automate routine tasks, build talent pools, and integrate data seamlessly into your ATS or LMS."
Tanoshi,"Apps, E-Learning, EdTech, Education, Primary Education, STEM Education","19,690","Tanoshi's mission is to provide an equitable digital education for every child in the world.  Tanoshi is a company founded with the purpose of developing Fun + Safe + Educational consumer electronic products for today’s school age kids, ages 6-12.  Technology is quickly evolving and Tanoshi is in the forefront of developing the best family friendly user experience. Tanoshi helps growing kids develop the skills they need now and in the future."
ForeignAdmits,"Career Planning, EdTech, Education, Higher Education, Universities","19,835","ForeignAdmits is a B2B digital platform as a service helping study abroad consultants amplify their students' admissions to post-admissions journey.   We were founded in 2018 by two IIT Alumni & International graduates & headquartered in the Silicon Valley of India, Bengaluru. We support our partner's boast of enabling over 700+ study-abroad counseling companies in India & abroad.    We are backed by prominent VCs (Venture Capitalists), some top SAAS Unicorn Company Founders, & trusted by over 700 Companies who are our customers. We have been entrusted by over 100 Partners globally, from top National Banks to International Lenders, Accommodation Providers, & more, who are serving over 5000 students on our platform.   We have seen this industry from a student's Lense first. And by being in a consultant shoe for over 5 yrs. serving 20,000+ students, we were able to create systems, processes, &, finally, products that solve extremely critical problems faced by students & overseas admissions consultants.  Around 5 yrs. before, the founders, Ashwini Jain & Nikhil Jain, saw the problems faced by study abroad aspirants in getting standardized, end-to-end, & authentic guidance in planning to study abroad. Thus, they started a mentorship service under the brand of ForeignAdmits to help students who aimed to study abroad with experiential guidance, & some tried & tested frameworks. From their own experiences of getting double scholarships in Master'smaster's & fully funded Ph.D. & experience of guiding over 5000 students from their alma maters in India, they understood the gap in awareness & the need for experiential guidance. Thus, the foundation of ForeignAdmits was laid.    ForeignAdmits is built to bring trust, efficiency & transparency to the overseas education industry. We aim to enable study abroad consultants to provide a stellar post-admissions experience for students using our enhanced technology platform, integrated marketplace & proactive customer support."
Plang.ai,"EdTech, Education, Skill Assessment","19,897",Plang is a mobile and AI based platform specializing in English learning solutions.
Hotchalk,"EdTech, Education, Universities","20,186","HotChalk is a leading provider of education technology and services. The Silicon Valley company partners with universities to provide turnkey solutions that put degree programs on line. HotChalk solutions incorporate all phases of the education lifecycle and deliver industry leading student retention and graduation rates. HotChalk operates the largest global network of free education content on the Internet through the HotChalk Education Network. The company believes all people should have access to education, and is on a mission to make meaningful education outcomes available to everyone, everywhere. To learn more, visit HotChalk.com."
Wonder Workshop,"Children, Consumer Electronics, EdTech, Hardware, Robotics, Software, STEM Education, Training","20,270","Wonder Workshop is teaching children to code by integrating cutting-edge hardware and software experiences. Their first products are beautifully-designed robots, Dash & Dot, that children can program using mobile devices.  They are a multidisciplinary team of software and hardware designers, engineers, educators, and business leaders focused on developing mobile applications for Dash & Dot Our founders come from Google, Apple, Amazon, and Frog Design and blend their backgrounds to create cohesive multi-platform experiences. Educating children takes a village, so they have opened their API to the world so anyone can create an app to use with their robots."
LIVEKLASS,"E-Learning, EdTech, Education","20,389",
Holberton School,"EdTech, Education, Higher Education, Software Engineering","20,405","Holberton School is a project-based alternative to college for the next generation of software engineers. It offers a two-year higher-education program to become a full-stack software engineer. Through project-based and peer learning, Holberton students unleash their creativity and naturally learn how to work as a team to solve practical challenges. Its curriculum is 100% hands-on, challenging, and exciting. Holberton students create many programs and systems; they work on industry-level projects and build their own applications. Holberton School was founded in 2016 by Sylvain Kalache and Julien Barbier with its first campus in San Francisco. Today, it operates 3 other campuses namely in New Haven, Bogotá, and Medellín."
No Isolation,"Communication Hardware, EdTech, Education, Electronics, Hardware, Home Health Care, Information Technology, Personal Development, Robotics, Software","20,426","No Isolation is a Norwegian startup, founded in October 2015. We tackle loneliness and involuntary social isolation by developing communication tools that help those affected. Our first product is AV1, the telepresence robot designed to allow children and young adults with long-term illness to participate in their social and educational lives. AV1 was launched in August 2016 and currently helps around 500 children across thirteen countries. Our second product is KOMP, the one-button screen designed to improve the communication between generations and family members, regardless of technological skills. Through KOMP, seniors can receive messages, photos and video calls. As of today, more than 85,000 moments have been shared with KOMP. No Isolation has employees in three offices: Oslo, Amsterdam and London."
Xiaoe Tech,"Digital Media, EdTech, Education, Marketing, SaaS, Software","20,507","Xiaoe Tech is a technology service provider focusing on new education. Its products include: knowledge paid SaaS, new education SaaS, enterprise internal training, PaaS cloud services, content traffic distribution services, business academies, conference systems, etc., providing SaaS software products, distribution, consulting and other services for different scenarios and industries. Little Goose is dedicated to providing content entrepreneurs and education and training institutions from tools, data, traffic, resources, talents, and other aspects. From brand communication to traffic growth, classroom teaching to student operations, and efficiency to a closed-loop business monetization. Internet solutions."
Applause,"EdTech, Education, Freelance, Information Technology, Mobile, Software, Test and Measurement","20,554","Applause is a crowd-sourced digital quality testing enabling companies to deliver digital experiences to their customers. Software is at the heart of how all brands engage users, and digital experiences must work flawlessly everywhere. With 300,000+ testers available on-demand around the globe, Applause provides brands with a full suite of testing and feedback capabilities. This approach drastically improves testing coverage, eliminates the limitations of offshoring and traditional QA labs, and speeds time-to-market for websites, mobile apps, IoT, and in-store experiences. Thousands of leading companies — including Ford, Fox, Google, and Dow Jones — rely on Applause as a best practice to deliver high-quality digital experiences that customers love.  It was founded in 2007 and is based in Framingham, Massachusetts, United States/"
AmazingTalker,"E-Learning, EdTech, Education, Language Learning","20,730",AmazingTalker is an one-on-one learning with native teachers gives students a more personalized learning experience.
Unibuddy,"EdTech, Education, SaaS, Universities","20,770","Unibuddy helping universities and students to attract, engage and convert prospects through peer interactions. It also changes the way universities attract, inform and recruit students by placing peer interactions and instant messaging at the core of its solutions. By embedding their tools into their websites, universities allow prospective applicants to chat with their student ambassadors and join group discussions in a matter of seconds. Unibuddy platform and your students provide a ready stream of content and a deeper insight into your market’s motivations. They allow prospects wherever they are to get to know the real​ you and make the right decision and through online peer-to-peer connections. Unibuddy was founded in 2015 and is headquartered in London, England, UK."
West Virginia University,"EdTech, Education, Universities","20,844","West Virginia University in Morgantown offers the chance to take part in strong academic programs in order to earn bachelor’s, master’s, or doctoral degrees.  A world-class university hosting students from across the country and around the world, WVU is known for its strong academics, excellent athletic programs, and access to the natural beauty of West Virginia.  In fact, entering students can enjoy the Mountaineer Adventure Program, an outdoor orientation that takes students white-water rafting, mountain climbing, or scuba diving within the state and in locations across the globe, like Fiji or New Zealand. The Mountaineers are also consistent contenders for top athletic prizes, with the football and men’s basketball teams often playing in the national spotlight. Of the many academic programs available to study, there are a few interesting and unique programs such as Aerospace Engineering, Cellular, and Integrative Physiology, Child Development and Family Studies, Education Leadership and Public School Administration, Forensic and Investigative Science, Industrial Engineering, Nursing, Professional Writing and Editing, and many others. Searching for a job post-graduation doesn’t have to be a solitary journey. The career service center has support programs such as career counseling, job fairs, and seminars and workshops that cover subjects like portfolios, resume writing, salary information, and the interview process, which are sure to enhance the job search. The financial aid office can help you find the means to cover your tuition and other educational expenses. FAFSA-related aid includes loans, grants, and work-study.  Scholarships offered by WVU include scholarships for West Virginia residents, non-residents, and transfer students as well as the Promise scholarship which covers all of a student’s tuition based on merit."
Uptime | Knowledge Hacks,"E-Learning, EdTech, Education","21,337","Our story began with a vision to build a platform that makes knowledge accessible, affordable, and fun, while also being free from negativity, doom-scrolling and advertising. That’s how we came to be Knowledge Hackers. Uptime is a free app featuring 5-minute Knowledge Hacks from the world’s best books, courses and documentaries. All Hacks are available in text, audio and our unique visual story format, distilling the key ideas and insights from thousands of sources to keep users informed and save them time and effort. And the best thing is, you can share Hacks in just a tap with anyone via socials and text. It’s time to know more in no time. It was founded in 2019 and is headquartered in London, England."
Vivi,"Apps, EdTech, Education, Mobile Apps, Video","21,376","Vivi is an Australian EdTech start-up Wireless that offers a wireless presentation and screen mirroring tool for education. It enables teachers and students to display, capture, annotate and save content in real-time. With so many schools and universities adopting a ‘Bring Your Own Device’ (BYOD) policy, Vivi is compatible across all devices and operating systems. Vivi is a simple to operate, cost-effective solution for forward-thinking schools looking to embrace wireless technologies and engage more effectively with students."
Vitruv (Bituve),"E-Learning, EdTech, Education, Tutoring","21,380",
WizKlub,"EdTech, Education, Higher Education","21,401","Wizklub designed a unique method of developing and nurturing Higher Order Thinking Skills in children. Wizklub is on a mission to create a million thinking minds by developing their Higher Order Thinking Skills (HOTS). The WizKlub HOTS program is scientifically designed for the holistic cognitive development of kids aged 6-14 years across Reasoning, Comprehension, Critical Thinking, and Problem Solving. It was established in 2018 and is based in Bangalore, Karnataka, India."
MEL Science,"EdTech, Education, Software","21,440",MEL Science is an educational startup focused to change early science education with a combination of up-to date technologies and hands on experience. Our main products are monthly subscription to chemistry kits and chemistry lessons in VR for schools. 
